Block_Index,Block_Len,Next_Jump_Size
1534,6,11790346
1535,5,9
1536,13,9177
1537,12,52
1538,3,246
1539,4,1672448
1540,8,790413
1541,3,2868
1542,8,9
1543,34,9
1544,7,2695
1545,2,790408
1546,9,1672414
1547,11,94
1548,2,415
1549,18,96
1550,7,12000
1551,9,9
1552,4,36
1553,5,157
1554,4,1684441
1555,8,790413
1556,3,2868
1557,8,9
1558,34,9
1559,7,2695
1560,2,790408
1561,9,1684407
1562,11,75
1563,2,295
1564,14,104
1565,2,9
1566,7,21331
1567,19,27267
1568,5,1076280
1569,3,153
1570,5,94
1571,6,2996
1572,2,1142487
1573,3,13969086
1574,1,13662542
1575,6,11
1576,8,262099
1577,18,262155
1578,4,13662476
1579,3,4023
1580,4,13
1581,1,56
1582,3,12975940
1583,3,9
1584,10,1197362
1585,3,9
1586,9,10
1587,3,14
1588,2,1197311
1589,3,9
1590,10,12975840
1591,1,9705
1592,5,9699
1593,2,46
1594,2,4048
1595,4,182072
1596,1,1717
1597,3,1278
1598,1,27
1599,17,9
1600,8,69
1601,4,9
1602,1,41
1603,3,695
1604,4,1434
1605,35,19
1606,1,24
1607,5,193633
1608,9,193605
1609,1,1579
1610,4,182150
1611,6,3973
1612,4,25
1613,1,52
1614,1,57
1615,3,4012
1616,3,9
1617,1,13
1618,1,13662689
1619,2,11
1620,1,9
1621,2,21
1622,1,13662644
1623,2,13969129
1624,8,57062
1625,5,57071
1626,4,1142472
1627,5,3246
1628,13,5010329
1629,11,5010353
1630,3,257
1631,4,268
1632,5,10
1633,10,165
1634,2,1076200
1635,11,12
1636,2,9
1637,5,27067
1638,19,11790351
1639,6,11790364
1640,5,11790333
1641,6,11790346
1642,5,9
1643,13,9177
1644,12,52
1645,3,246
1646,4,1672448
1647,8,790413
1648,3,2868
1649,8,9
1650,34,9
1651,7,2695
1652,2,790408
1653,9,1672414
1654,11,94
1655,2,415
1656,18,96
1657,7,12000
1658,9,9
1659,4,36
1660,5,157
1661,4,1684441
1662,8,790413
1663,3,2868
1664,8,9
1665,34,9
1666,7,2695
1667,2,790408
1668,9,1684407
1669,11,75
1670,2,295
1671,14,104
1672,2,9
1673,7,21331
1674,19,27267
1675,5,1076280
1676,3,153
1677,5,94
1678,6,2996
1679,2,1142487
1680,3,13969086
1681,1,13662542
1682,6,11
1683,8,262099
1684,18,262155
1685,4,13662476
1686,3,4023
1687,4,13
1688,1,56
1689,3,12975940
1690,3,9
1691,10,1197362
1692,3,9
1693,9,10
1694,3,14
1695,2,1197311
1696,3,9
1697,10,12975840
1698,1,9705
1699,5,9699
1700,2,46
1701,2,4048
1702,4,182072
1703,1,1717
1704,3,1278
1705,1,27
1706,17,9
1707,8,69
1708,4,9
1709,1,41
1710,3,695
1711,4,1434
1712,35,19
1713,1,24
1714,5,193633
1715,9,193605
1716,1,1579
1717,4,182150
1718,6,3973
1719,4,25
1720,1,52
1721,1,57
1722,3,4012
1723,3,9
1724,1,13
1725,1,13662689
1726,2,11
1727,1,9
1728,2,21
1729,1,13662644
1730,2,13969129
1731,8,57062
1732,5,57071
1733,4,1142472
1734,5,3246
1735,13,5010329
1736,11,5010353
1737,3,257
1738,4,268
1739,5,10
1740,10,165
1741,2,1076200
1742,11,12
1743,2,9
1744,5,27067
1745,19,11790351
1746,6,11790364
1747,5,11790333
1748,6,11790346
1749,5,9
1750,13,9177
1751,12,52
1752,3,246
1753,4,1672448
1754,8,790413
1755,3,2868
1756,8,9
1757,34,9
1758,7,2695
1759,2,790408
1760,9,1672414
1761,11,94
1762,2,415
1763,18,96
1764,7,12000
1765,9,9
1766,4,36
1767,5,157
1768,4,1684441
1769,8,790413
1770,3,2868
1771,8,9
1772,34,9
1773,7,2695
1774,2,790408
1775,9,1684407
1776,11,75
1777,2,295
1778,14,104
1779,2,9
1780,7,21331
1781,19,27267
1782,5,1076280
1783,3,153
1784,5,94
1785,6,2996
1786,2,1142487
1787,3,13969086
1788,1,13662542
1789,6,11
1790,8,262099
1791,18,262155
1792,4,13662476
1793,3,4023
1794,4,13
1795,1,56
1796,3,12975940
1797,3,9
1798,10,1197362
1799,3,9
1800,9,10
1801,3,14
1802,2,1197311
1803,3,9
1804,10,12975840
1805,1,9705
1806,5,9699
1807,2,46
1808,2,4048
1809,4,182072
1810,1,1717
1811,3,1278
1812,1,27
1813,17,9
1814,8,69
1815,4,9
1816,1,41
1817,3,695
1818,4,1434
1819,35,19
1820,1,24
1821,5,193633
1822,9,193605
1823,1,1579
1824,4,182150
1825,6,3973
1826,4,25
1827,1,52
1828,1,57
1829,3,4012
1830,3,9
1831,1,13
1832,1,13662689
1833,2,11
1834,1,9
1835,2,21
1836,1,13662644
1837,2,13969129
1838,8,57062
1839,5,57071
1840,4,1142472
1841,5,3246
1842,13,5010329
1843,11,5010353
1844,3,257
1845,4,268
1846,5,10
1847,10,165
1848,2,1076200
1849,11,12
1850,2,9
1851,5,27067
1852,19,11790351
1853,6,11790364
1854,5,11790333
1855,6,11790346
1856,5,9
1857,13,9177
1858,12,52
1859,3,246
1860,4,1672448
1861,8,790413
1862,3,2868
1863,8,9
1864,34,9
1865,7,2695
1866,2,790408
1867,9,1672414
1868,11,94
1869,2,415
1870,18,96
1871,7,12000
1872,9,9
1873,4,36
1874,5,157
1875,4,1684441
1876,8,790413
1877,3,2868
1878,8,9
1879,34,9
1880,7,2695
1881,2,790408
1882,9,1684407
1883,11,75
1884,2,295
1885,14,104
1886,2,9
1887,7,21331
1888,19,27267
1889,5,1076280
1890,3,153
1891,5,94
1892,6,2996
1893,2,1142487
1894,3,13969086
1895,1,13662542
1896,6,11
1897,8,262099
1898,18,262155
1899,4,13662476
1900,3,4023
1901,4,13
1902,1,56
1903,3,12975940
1904,3,9
1905,10,1197362
1906,3,9
1907,9,10
1908,3,14
1909,2,1197311
1910,3,9
1911,10,12975840
1912,1,9705
1913,5,9699
1914,2,46
1915,2,4048
1916,4,182072
1917,1,1717
1918,3,1278
1919,1,27
1920,17,9
1921,8,69
1922,4,9
1923,1,41
